ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,WC_bio12,ER_annualPET,ER_aridityIndexThornthwaite,lon,lat
754,1,182,10,10.399999618530273,2.180000066757202,14.59000015258789,939,969.4000244140625,30.010000228881836,-87.538948,41.665986
755,1,91,18.700000762939453,13.100000381469727,5.599999904632568,12.609999656677246,1171,1443.81005859375,36.029998779296875,-94.649338,31.389434
756,1,332,6.5,10.100000381469727,4.21999979019165,12.90999984741211,924,843.07000732421875,38.68000030517578,-80.48305,43.516857
757,1,81,9.5,9.300000190734863,77.94000244140625,8.890000343322754,1547,806.22998046875,45.02000045776367,-122.095117,49.057133
758,1,807,11,16.5,137.44000244140625,7.880000114440918,1080,1243.1800537109375,77.19000244140625,-123.287273,40.77876
759,1,9,19,10.899999618530273,3.640000104904175,12.899999618530273,1256,1304.469970703125,30.760000228881836,-81.155788,31.984909
760,1,256,8.600000381469727,11.300000190734863,7.900000095367432,13.109999656677246,916,967.030029296875,28.350000381469727,-88.291914,42.11256
761,1,6,24.600000381469727,7.800000190734863,NA,12.850000381469727,1174,1328.260009765625,32.36000061035156,-80.507987,25.022399
762,1,14,9.699999809265137,8.699999809265137,6.340000152587891,12.069999694824219,1134,824.96002197265625,28.950000762939453,-70.298237,41.709321
763,1,76,6.900000095367432,10.199999809265137,3.4700000286102295,12.890000343322754,907,827.94000244140625,38.459999084472656,-76.196975,44.301377
764,1,42,9.800000190734863,8.800000190734863,68.160003662109375,9.630000114440918,1653,793,42.349998474121094,-121.94776,49.244975
765,1,64,6.199999809265137,9,14.6899995803833,11.069999694824219,1426,731.969970703125,15.59000015258789,-63.547134,44.684379
766,1,74,10.5,8.5,21.610000610351562,10.819999694824219,1003,793.84002685546875,53.63999938964844,-122.240664,47.817958
767,1,20,9.899999618530273,7.699999809265137,14.369999885559082,11.420000076293945,1192,730.52001953125,46.279998779296875,-123.198435,49.175265
768,1,56,13,11.5,10.880000114440918,11.800000190734863,1012,1108.7900390625,34.849998474121094,-77.107841,38.751051
769,1,292,9.699999809265137,11,13.859999656677246,12.140000343322754,950,982.28997802734375,30.329999923706055,-81.527068,41.123527
770,1,240,8.300000190734863,8.699999809265137,45.66999816894531,9.699999809265137,1547,733.219970703125,46.380001068115234,-125.103308,49.748253
771,1,128,2.5999999046325684,7.699999809265137,47.33000183105469,9.220000267028809,682,473.0400085449219,42.869998931884766,-151.562395,59.639033
772,1,76,18.700000762939453,13.100000381469727,7.420000076293945,12.300000190734863,1168,1445.43994140625,36.34000015258789,-94.618083,31.46557
773,1,15,6.5,10.199999809265137,15.930000305175781,10.890000343322754,1219,809.3599853515625,31.06999969482422,-64.328647,45.102055
774,1,92,9.300000190734863,9.100000381469727,7.960000038146973,11.9399995803833,1376,782.489990234375,44.119998931884766,-122.51458,49.070708
775,1,139,14.899999618530273,14.100000381469727,42.90999984741211,10.319999694824219,544,1289.6800537109375,84.160003662109375,-121.785268,37.176168
776,1,335,8.5,8.699999809265137,123.4000015258789,8,1630,753.3499755859375,42.77000045776367,-121.942329,49.264068
777,1,50,5.900000095367432,10.300000190734863,2.2200000286102295,13.170000076293945,918,808.80999755859375,32.400001525878906,-74.810294,45.578731
778,1,8,19.899999618530273,9.600000381469727,1.9900000095367432,13.390000343322754,1494,1264.3599853515625,15.619999885559082,-87.402135,30.310343
779,1,14,7.800000190734863,10.5,6.869999885559082,11.59000015258789,1156,856.8900146484375,30.75,-69.726175,43.779843
780,1,6,23,11.699999809265137,0.9300000071525574,13.460000038146973,1278,1544.280029296875,47.400001525878906,-82.066312,26.761071
